experiment_id,dataset,partition,method,seed,supernodes,net_profile,notes
heterofl-fmnist-iid-s1,fashion-mnist,iid,fedavg-full,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-s2,fashion-mnist,iid,fedavg-full,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-s3,fashion-mnist,iid,fedavg-full,3,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-small-s1,fashion-mnist,iid,fedavg-small,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-small-s2,fashion-mnist,iid,fedavg-small,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-small-s3,fashion-mnist,iid,fedavg-small,3,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-hetero-s1,fashion-mnist,iid,heterofl,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-hetero-s2,fashion-mnist,iid,heterofl,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-iid-hetero-s3,fashion-mnist,iid,heterofl,3,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-s1,fashion-mnist,dirichlet-0.5,fedavg-full,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-s2,fashion-mnist,dirichlet-0.5,fedavg-full,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-s3,fashion-mnist,dirichlet-0.5,fedavg-full,3,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-small-s1,fashion-mnist,dirichlet-0.5,fedavg-small,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-small-s2,fashion-mnist,dirichlet-0.5,fedavg-small,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-small-s3,fashion-mnist,dirichlet-0.5,fedavg-small,3,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-hetero-s1,fashion-mnist,dirichlet-0.5,heterofl,1,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-hetero-s2,fashion-mnist,dirichlet-0.5,heterofl,2,"rpi4=6;rpi5=22",none,core
heterofl-fmnist-dir-hetero-s3,fashion-mnist,dirichlet-0.5,heterofl,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-s1,cifar10,iid,fedavg-full,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-s2,cifar10,iid,fedavg-full,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-s3,cifar10,iid,fedavg-full,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-small-s1,cifar10,iid,fedavg-small,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-small-s2,cifar10,iid,fedavg-small,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-small-s3,cifar10,iid,fedavg-small,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-hetero-s1,cifar10,iid,heterofl,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-hetero-s2,cifar10,iid,heterofl,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-iid-hetero-s3,cifar10,iid,heterofl,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-s1,cifar10,dirichlet-0.5,fedavg-full,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-s2,cifar10,dirichlet-0.5,fedavg-full,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-s3,cifar10,dirichlet-0.5,fedavg-full,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-small-s1,cifar10,dirichlet-0.5,fedavg-small,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-small-s2,cifar10,dirichlet-0.5,fedavg-small,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-small-s3,cifar10,dirichlet-0.5,fedavg-small,3,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-hetero-s1,cifar10,dirichlet-0.5,heterofl,1,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-hetero-s2,cifar10,dirichlet-0.5,heterofl,2,"rpi4=6;rpi5=22",none,core
heterofl-cifar-dir-hetero-s3,cifar10,dirichlet-0.5,heterofl,3,"rpi4=6;rpi5=22",none,core
