run_id,method,regime,seed,node_id,device_type,model_rate,client_model_rate,eval_r2,num_examples
jdjkltsl,HeteroFL,iid,1337,3841234275424189669,rpi5,0.5,0.5,0.6992528275010557,206
jdjkltsl,HeteroFL,iid,1337,14226001021573022945,rpi5,0.5,1.0,0.625125408683152,206
jdjkltsl,HeteroFL,iid,1337,6004685486190830607,rpi5,0.5,0.5,0.535303367424568,206
jdjkltsl,HeteroFL,iid,1337,6726624369772430270,rpi5,0.5,0.5,0.6354492164831814,206
jdjkltsl,HeteroFL,iid,1337,8657323599741438592,rpi5,0.5,0.5,0.6588146375475505,206
jdjkltsl,HeteroFL,iid,1337,13767938269100296151,rpi5,0.5,1.0,0.6130723933548704,206
jdjkltsl,HeteroFL,iid,1337,14480512520681611931,rpi5,0.5,1.0,0.6771328918931634,206
jdjkltsl,HeteroFL,iid,1337,12667972072363511440,rpi5,0.5,1.0,0.7089829824934762,206
jdjkltsl,HeteroFL,iid,1337,10909520744834484936,rpi5,0.5,0.5,0.7224712669847884,206
jdjkltsl,HeteroFL,iid,1337,12071567470347495348,rpi5,0.5,1.0,0.6591097645840502,206
jdjkltsl,HeteroFL,iid,1337,16327355647442261296,rpi4,0.5,0.25,0.6750897292700705,207
jdjkltsl,HeteroFL,iid,1337,9411245659110517890,rpi4,0.5,0.25,0.6092281253822326,207
jdjkltsl,HeteroFL,iid,1337,17379905658338421284,rpi4,0.5,0.25,0.6882848423792702,207
jdjkltsl,HeteroFL,iid,1337,14888090722222606091,rpi4,0.5,0.25,0.6863279055840661,207
jdjkltsl,HeteroFL,iid,1337,6900259131917109765,rpi4,0.5,0.125,0.7194990867001574,207
jdjkltsl,HeteroFL,iid,1337,5694123171964577319,rpi4,0.5,0.125,0.5933325263250615,207
jdjkltsl,HeteroFL,iid,1337,10266516110547216792,rpi4,0.5,0.25,0.6195432841375295,206
jdjkltsl,HeteroFL,iid,1337,7210059995817089394,rpi4,0.5,0.125,0.7177507061765758,206
jdjkltsl,HeteroFL,iid,1337,2886842441168477412,rpi4,0.5,0.125,0.641384782232041,207
jdjkltsl,HeteroFL,iid,1337,6815254198086674262,rpi4,0.5,0.125,0.6826291502967441,207
jdjkltsl,HeteroFL,iid,1337,14480512520681611931,rpi5,0.25,1.0,0.6576944351932537,206
jdjkltsl,HeteroFL,iid,1337,10909520744834484936,rpi5,0.25,0.5,0.6937680381770552,206
jdjkltsl,HeteroFL,iid,1337,8657323599741438592,rpi5,0.25,0.5,0.6616831557185359,206
jdjkltsl,HeteroFL,iid,1337,13767938269100296151,rpi5,0.25,1.0,0.5971093305141998,206
jdjkltsl,HeteroFL,iid,1337,12667972072363511440,rpi5,0.25,1.0,0.6819340516254103,206
jdjkltsl,HeteroFL,iid,1337,6726624369772430270,rpi5,0.25,0.5,0.6062402538008709,206
jdjkltsl,HeteroFL,iid,1337,14226001021573022945,rpi5,0.25,1.0,0.5986241415345251,206
jdjkltsl,HeteroFL,iid,1337,3841234275424189669,rpi5,0.25,0.5,0.6720103452794712,206
jdjkltsl,HeteroFL,iid,1337,6004685486190830607,rpi5,0.25,0.5,0.500933848362443,206
jdjkltsl,HeteroFL,iid,1337,12071567470347495348,rpi5,0.25,1.0,0.6298843050928111,206
jdjkltsl,HeteroFL,iid,1337,6900259131917109765,rpi4,0.25,0.125,0.6933911366396208,207
jdjkltsl,HeteroFL,iid,1337,17379905658338421284,rpi4,0.25,0.25,0.6614582464143384,207
jdjkltsl,HeteroFL,iid,1337,7210059995817089394,rpi4,0.25,0.125,0.6904293681024973,206
jdjkltsl,HeteroFL,iid,1337,9411245659110517890,rpi4,0.25,0.25,0.6028280313831192,207
jdjkltsl,HeteroFL,iid,1337,5694123171964577319,rpi4,0.25,0.125,0.5706053839005238,207
jdjkltsl,HeteroFL,iid,1337,10266516110547216792,rpi4,0.25,0.25,0.6016967135734567,206
jdjkltsl,HeteroFL,iid,1337,14888090722222606091,rpi4,0.25,0.25,0.6602355079601111,207
jdjkltsl,HeteroFL,iid,1337,2886842441168477412,rpi4,0.25,0.125,0.6244536804390544,207
jdjkltsl,HeteroFL,iid,1337,16327355647442261296,rpi4,0.25,0.25,0.641196214845787,207
jdjkltsl,HeteroFL,iid,1337,6815254198086674262,rpi4,0.25,0.125,0.66787416505765,207
jdjkltsl,HeteroFL,iid,1337,12667972072363511440,rpi5,0.125,1.0,0.44872542825534867,206
jdjkltsl,HeteroFL,iid,1337,8657323599741438592,rpi5,0.125,0.5,0.4682823760977164,206
jdjkltsl,HeteroFL,iid,1337,14480512520681611931,rpi5,0.125,1.0,0.4630295155737263,206
jdjkltsl,HeteroFL,iid,1337,12071567470347495348,rpi5,0.125,1.0,0.42919161265756334,206
jdjkltsl,HeteroFL,iid,1337,13767938269100296151,rpi5,0.125,1.0,0.4252625371963492,206
jdjkltsl,HeteroFL,iid,1337,6004685486190830607,rpi5,0.125,0.5,0.3686434251027353,206
jdjkltsl,HeteroFL,iid,1337,14226001021573022945,rpi5,0.125,1.0,0.414118437975421,206
jdjkltsl,HeteroFL,iid,1337,10909520744834484936,rpi5,0.125,0.5,0.4754672715684717,206
jdjkltsl,HeteroFL,iid,1337,6726624369772430270,rpi5,0.125,0.5,0.40656545963981416,206
jdjkltsl,HeteroFL,iid,1337,3841234275424189669,rpi5,0.125,0.5,0.4743199236203053,206
jdjkltsl,HeteroFL,iid,1337,5694123171964577319,rpi4,0.125,0.125,0.379158676937302,207
jdjkltsl,HeteroFL,iid,1337,9411245659110517890,rpi4,0.125,0.25,0.43350227276886133,207
jdjkltsl,HeteroFL,iid,1337,10266516110547216792,rpi4,0.125,0.25,0.41288120989501853,206
jdjkltsl,HeteroFL,iid,1337,14888090722222606091,rpi4,0.125,0.25,0.44226267128337726,207
jdjkltsl,HeteroFL,iid,1337,6900259131917109765,rpi4,0.125,0.125,0.45387130485726657,207
jdjkltsl,HeteroFL,iid,1337,17379905658338421284,rpi4,0.125,0.25,0.4414287970884774,207
jdjkltsl,HeteroFL,iid,1337,16327355647442261296,rpi4,0.125,0.25,0.43461828021428295,207
jdjkltsl,HeteroFL,iid,1337,7210059995817089394,rpi4,0.125,0.125,0.4589478011285041,206
jdjkltsl,HeteroFL,iid,1337,2886842441168477412,rpi4,0.125,0.125,0.4212819372605463,207
jdjkltsl,HeteroFL,iid,1337,6815254198086674262,rpi4,0.125,0.125,0.4741419040856478,207
jdjkltsl,HeteroFL,iid,1337,14480512520681611931,rpi5,1.0,1.0,0.7248901566049193,206
jdjkltsl,HeteroFL,iid,1337,6726624369772430270,rpi5,1.0,0.5,0.6810924975751051,206
jdjkltsl,HeteroFL,iid,1337,3841234275424189669,rpi5,1.0,0.5,0.7269638736111569,206
jdjkltsl,HeteroFL,iid,1337,10909520744834484936,rpi5,1.0,0.5,0.7477439250734834,206
jdjkltsl,HeteroFL,iid,1337,14226001021573022945,rpi5,1.0,1.0,0.668323769673278,206
jdjkltsl,HeteroFL,iid,1337,6004685486190830607,rpi5,1.0,0.5,0.6082841143122706,206
jdjkltsl,HeteroFL,iid,1337,12667972072363511440,rpi5,1.0,1.0,0.7292582205106017,206
jdjkltsl,HeteroFL,iid,1337,8657323599741438592,rpi5,1.0,0.5,0.7201561631246445,206
jdjkltsl,HeteroFL,iid,1337,13767938269100296151,rpi5,1.0,1.0,0.667568819732256,206
jdjkltsl,HeteroFL,iid,1337,12071567470347495348,rpi5,1.0,1.0,0.7070686769239354,206
jdjkltsl,HeteroFL,iid,1337,17379905658338421284,rpi4,1.0,0.25,0.708873346418618,207
jdjkltsl,HeteroFL,iid,1337,9411245659110517890,rpi4,1.0,0.25,0.6579681423906787,207
jdjkltsl,HeteroFL,iid,1337,7210059995817089394,rpi4,1.0,0.125,0.7295620060161394,206
jdjkltsl,HeteroFL,iid,1337,2886842441168477412,rpi4,1.0,0.125,0.6660237500805695,207
jdjkltsl,HeteroFL,iid,1337,6900259131917109765,rpi4,1.0,0.125,0.7402666487388179,207
jdjkltsl,HeteroFL,iid,1337,16327355647442261296,rpi4,1.0,0.25,0.7204953005907835,207
jdjkltsl,HeteroFL,iid,1337,5694123171964577319,rpi4,1.0,0.125,0.6462339382333764,207
jdjkltsl,HeteroFL,iid,1337,14888090722222606091,rpi4,1.0,0.25,0.7341029418303471,207
jdjkltsl,HeteroFL,iid,1337,10266516110547216792,rpi4,1.0,0.25,0.664946739036937,206
jdjkltsl,HeteroFL,iid,1337,6815254198086674262,rpi4,1.0,0.125,0.7327707573331488,207
qxlnfxpu,FedRolex,iid,1337,4426707768734690464,rpi5,0.125,0.5,0.3601935094915357,206
qxlnfxpu,FedRolex,iid,1337,1476246369391640779,rpi5,0.125,0.5,0.3054069724217492,206
qxlnfxpu,FedRolex,iid,1337,11291137218676695951,rpi5,0.125,1.0,0.2781219262979975,206
qxlnfxpu,FedRolex,iid,1337,12552615541582918115,rpi5,0.125,1.0,0.31891219583094954,206
qxlnfxpu,FedRolex,iid,1337,1750324167379625933,rpi5,0.125,0.5,0.3317919269884281,206
qxlnfxpu,FedRolex,iid,1337,11570147638579573881,rpi5,0.125,1.0,0.3279002893364942,206
qxlnfxpu,FedRolex,iid,1337,11476050192558106647,rpi5,0.125,1.0,0.3311616212087414,206
qxlnfxpu,FedRolex,iid,1337,4712956949897801561,rpi5,0.125,0.5,0.35046267419518373,206
qxlnfxpu,FedRolex,iid,1337,1569831328897619931,rpi5,0.125,0.5,0.31809976926008043,206
qxlnfxpu,FedRolex,iid,1337,14727399710503074402,rpi5,0.125,1.0,0.36405055366429717,206
qxlnfxpu,FedRolex,iid,1337,4868792756367052665,rpi4,0.125,0.125,0.3678870209377666,207
qxlnfxpu,FedRolex,iid,1337,10540470563812154262,rpi4,0.125,0.25,0.3418384980944954,207
qxlnfxpu,FedRolex,iid,1337,10893439222041456505,rpi4,0.125,0.25,0.35160975137527617,207
qxlnfxpu,FedRolex,iid,1337,11435327119724091724,rpi4,0.125,0.25,0.3269676546502688,207
