task,regime,method,speedup_vs_fedavg,speedup_err,quality_delta,quality_delta_err,baseline_score,method_score,baseline_runtime_min,method_runtime_min
california_housing,iid,heterofl,0.99609375,0.07385537008108545,-0.031000000000000028,0.00608276253029822,0.724,0.693,25.5,25.6
california_housing,iid,fedrolex,0.9770114942528735,0.06067374671499557,-0.04499999999999993,0.0031622776601683794,0.724,0.679,25.5,26.1
california_housing,iid,fiarse,0.9732824427480916,0.05682623276638302,-0.014000000000000012,0.0022360679774997894,0.724,0.71,25.5,26.2
california_housing,noniid,heterofl,0.961038961038961,0.07706175701873386,-0.02200000000000002,0.008602325267042627,0.711,0.689,37.0,38.5
california_housing,noniid,fedrolex,0.9893048128342247,0.05861760806717208,-0.11399999999999999,0.018384776310850236,0.711,0.597,37.0,37.4
california_housing,noniid,fiarse,0.9762532981530343,0.03382268072552039,-0.09699999999999998,0.07034912934784623,0.711,0.614,37.0,37.9
fashion_mnist,iid,heterofl,1.1849529780564263,0.03923345237372991,-1.9299999999999926,0.4838388161361178,83.88,81.95,37.8,31.9
fashion_mnist,iid,fedrolex,1.1886792452830188,0.04059008277319821,-6.569999999999993,1.1002726934719411,83.88,77.31,37.8,31.8
fashion_mnist,iid,fiarse,0.9642857142857142,0.030710921630253595,-0.3100000000000023,0.25,83.88,83.57,37.8,39.2
fashion_mnist,noniid,heterofl,1.2520325203252032,0.09815411950618488,-11.129999999999995,5.60115166729129,80.86,69.73,61.6,49.2
fashion_mnist,noniid,fedrolex,1.2270916334661355,0.06486084135235355,-16.730000000000004,7.514792079625357,80.86,64.13,61.6,50.2
fashion_mnist,noniid,fiarse,0.9375951293759512,0.06279122093880762,-4.480000000000004,5.03205723337881,80.86,76.38,61.6,65.7
cifar10,iid,heterofl,2.34023402340234,0.5578427061456098,-4.429999999999993,0.48020828814171873,79.38,74.95,260.0,111.1
cifar10,iid,fedrolex,2.1594684385382057,0.4874449832102023,-5.140000000000001,0.367967389859482,79.38,74.24,260.0,120.4
cifar10,iid,fiarse,1.2464046021093,0.5551422190455784,-2.9499999999999886,2.0949701668520246,79.38,76.43,260.0,208.6
cifar10,noniid,heterofl,2.058546433378196,0.21726607692780894,-11.070000000000007,2.1377090541044166,75.93,64.86,305.9,148.6
cifar10,noniid,fedrolex,2.265925925925926,0.2575572475151873,-10.210000000000008,0.9404786015641186,75.93,65.72,305.9,135.0
cifar10,noniid,fiarse,0.8587871982032566,0.1007229301884709,-5.38000000000001,1.8738729946290384,75.93,70.55,305.9,356.2
