case,server_round,n,wall_clock_mean_min,wall_clock_std_min,eval_acc_mean_pct,eval_acc_std_pct
A,0,3,6.514726777683333,0.14100243941383858,11.316666666666668,2.2035501658308876
A,1,3,15.03291666158889,3.8980533052200026,25.526666666666667,3.415323313148163
A,2,3,16.282892786194445,3.8992974043905932,36.32,4.9107942331154515
A,3,3,17.532100562183334,3.900630681380631,40.093333333333334,5.275000789889354
A,4,3,18.782268566033334,3.902583837354881,44.07333333333333,6.052985489271665
A,5,3,20.031781452294442,3.9042108836288008,46.82,5.951882055283022
A,6,3,21.281585802416668,3.9064741705226727,49.03,5.736575633598846
A,7,3,22.531092989144444,3.907591237725582,51.01666666666667,5.269386428544912
A,8,3,23.780337794494443,3.9088673727334475,52.78333333333333,4.767078070824238
A,9,3,25.035163124455554,3.907434277963553,54.36333333333334,4.506155049854962
A,10,3,26.284360978383337,3.908880750426037,55.64333333333334,4.495401353976452
A,11,3,27.534259082055556,3.9102169219587557,57.02,4.231630891275844
A,12,3,28.796076128772224,3.8979234673360734,58.14666666666667,3.9908186294710677
A,13,3,30.03446175557778,3.9059884104346176,59.086666666666666,3.7009368183384774
A,14,3,31.284135075727775,3.9081488892196727,60.07333333333333,3.604806975877253
A,15,3,32.539023677505554,3.9189405256776517,60.85666666666666,3.4915946691065614
A,16,3,33.78853412816667,3.9198309143067016,61.61000000000001,3.3915925462826464
A,17,3,35.037429360138894,3.9216831400504644,62.23333333333333,3.2359594146610235
A,18,3,36.29792131937222,3.92941346050592,62.68333333333334,3.125897204537177
A,19,3,37.55199161553889,3.924113612997173,63.16,2.9037734071376873
A,20,3,38.80034164258889,3.9251616764737123,63.593333333333334,2.6934426545470247
B,0,3,6.1063055953722225,2.8683977072016433,11.316666666666668,2.2035501658308876
B,1,3,16.60684041797778,7.041246760668487,22.78,1.410779926140147
B,2,3,22.97553794838889,7.111769829937149,35.07,0.5892367945062491
B,3,3,29.315794206583334,7.161692754570505,43.97,2.961553646314714
B,4,3,35.707543622383334,7.229158267332383,50.13333333333333,2.691957156667492
B,5,3,42.10684606045,7.317611403377432,54.43666666666667,2.457078210666755
B,6,3,48.45971342909445,7.351288797651822,57.48333333333333,2.2883691427156916
B,7,3,54.84916920775,7.4367782965885265,60.276666666666664,2.140942160202688
B,8,3,61.19573041252222,7.451231447237793,62.43,2.0511703976023026
