case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
A,1337,fpm16oq8,381.115975653,6.35193292755,,0.1386
A,1337,fpm16oq8,808.145438496,13.4690906416,1,0.2947
A,1337,fpm16oq8,883.059935593,14.717665593216667,2,0.3502
A,1337,fpm16oq8,957.954671897,15.965911198283333,3,0.3802
A,1337,fpm16oq8,1032.841255251,17.214020920849997,4,0.4095
A,1337,fpm16oq8,1107.744696497,18.462411608283332,5,0.4355
A,1337,fpm16oq8,1182.636996793,19.710616613216665,6,0.4592
A,1337,fpm16oq8,1257.59984689,20.959997448166668,7,0.483
A,1337,fpm16oq8,1332.49916217,22.2083193695,8,0.5029
A,1337,fpm16oq8,1408.341093897,23.47235156495,9,0.5223
A,1337,fpm16oq8,1483.189549479,24.719825824650002,10,0.5358
A,1337,fpm16oq8,1558.194509255,25.969908487583332,11,0.5493
A,1337,fpm16oq8,1633.111319912,27.218521998533333,12,0.5635
A,1337,fpm16oq8,1706.105597607,28.43509329345,13,0.5796
A,1337,fpm16oq8,1781.035331478,29.6839221913,14,0.5915
A,1337,fpm16oq8,1855.94775905,30.932462650833333,15,0.6036
A,1337,fpm16oq8,1930.912208091,32.18187013485,16,0.6149
A,1337,fpm16oq8,2005.788519847,33.42980866411667,17,0.6246
A,1337,fpm16oq8,2081.759895062,34.69599825103333,18,0.631
A,1337,fpm16oq8,2156.675233829,35.94458723048333,19,0.6374
A,1337,fpm16oq8,2231.524429556,37.192073825933335,20,0.6429
A,1338,0af3kedu,395.629165581,6.59381942635,,0.0998
A,1338,0af3kedu,729.576395986,12.159606599766667,1,0.236
A,1338,0af3kedu,804.564375464,13.409406257733334,2,0.4175
A,1338,0af3kedu,879.478926917,14.657982115283334,3,0.4609
A,1338,0af3kedu,954.465443015,15.907757383583334,4,0.5105
A,1338,0af3kedu,1029.387397677,17.15645662795,5,0.5369
A,1338,0af3kedu,1104.309644697,18.405160744950003,6,0.5565
A,1338,0af3kedu,1179.214806116,19.653580101933336,7,0.5709
A,1338,0af3kedu,1254.133314888,20.902221914800002,8,0.5828
A,1338,0af3kedu,1329.061127245,22.151018787416668,9,0.5954
A,1338,0af3kedu,1404.005268608,23.400087810133336,10,0.608
A,1338,0af3kedu,1478.904608646,24.6484101441,11,0.6189
A,1338,0af3kedu,1556.051746568,25.934195776133333,12,0.6272
A,1338,0af3kedu,1630.919256221,27.181987603683336,13,0.6322
A,1338,0af3kedu,1705.802990691,28.43004984485,14,0.6405
A,1338,0af3kedu,1780.719376146,29.6786562691,15,0.6457
A,1338,0af3kedu,1855.637978527,30.92729964211667,16,0.6506
A,1338,0af3kedu,1930.500394192,32.17500656986667,17,0.6535
A,1338,0af3kedu,2005.350970085,33.422516168083334,18,0.6558
A,1338,0af3kedu,2081.207393033,34.68678988388333,19,0.6573
A,1338,0af3kedu,2156.084063639,35.934734393983334,20,0.6587
A,1339,6gj362to,395.905678749,6.59842797915,,0.1011
A,1339,6gj362to,1168.203164604,19.4700527434,1,0.2351
A,1339,6gj362to,1243.296390458,20.721606507633332,2,0.3219
A,1339,6gj362to,1318.344502379,21.972408372983335,3,0.3617
A,1339,6gj362to,1393.50164362,23.225027393666668,4,0.4022
A,1339,6gj362to,1468.588567239,24.47647612065,5,0.4322
A,1339,6gj362to,1543.738802945,25.728980049083336,6,0.4552
A,1339,6gj362to,1618.78208504,26.979701417333334,7,0.4766
A,1339,6gj362to,1693.828325951,28.23047209918333,8,0.4978
A,1339,6gj362to,1768.92714126,29.482119021000003,9,0.5132
A,1339,6gj362to,1843.990158022,30.73316930036667,10,0.5255
A,1339,6gj362to,1919.067516869,31.984458614483334,11,0.5424
A,1339,6gj362to,1994.130636699,33.23551061165,12,0.5537
A,1339,6gj362to,2069.178262176,34.4863043696,13,0.5608
A,1339,6gj362to,2144.305991462,35.73843319103333,14,0.5702
A,1339,6gj362to,2220.357126755,37.00595211258334,15,0.5764
A,1339,6gj362to,2295.385956452,38.256432607533334,16,0.5828
A,1339,6gj362to,2370.448370786,39.50747284643333,17,0.5889
A,1339,6gj362to,2446.51497234,40.775249539,18,0.5937
A,1339,6gj362to,2521.475863935,42.024597732249994,19,0.6001
A,1339,6gj362to,2596.453002471,43.27421670785,20,0.6062
B,1337,g72gi4nc,282.442973446,4.707382890766667,,0.1386
B,1337,g72gi4nc,804.33323078,13.405553846333333,1,0.2401
B,1337,g72gi4nc,1178.068687355,19.634478122583335,2,0.3439
B,1337,g72gi4nc,1548.925580592,25.8154263432,3,0.4183
B,1337,g72gi4nc,1922.80831867,32.046805311166665,4,0.4756
B,1337,g72gi4nc,2295.444996129,38.25741660215,5,0.5204
