case,seed,clients,method,data_used,rpi5_rate,rpi4_rate,run_id,final_acc,best_acc,total_time_s,total_time_min,mean_round_time_s,round_count
A,1337,5 rpi5,FedAvg,5/15,1.0,excluded,fpm16oq8,0.6429,0.6429,2233.503003824997,37.22505006374995,71.85576435840485,20
A,1338,5 rpi5,FedAvg,5/15,1.0,excluded,0af3kedu,0.6587,0.6587,2157.9864940859843,35.96644156809974,67.35011955519876,20
A,1339,5 rpi5,FedAvg,5/15,1.0,excluded,6gj362to,0.6062,0.6062,2598.1891194289783,43.303151990482974,89.22064215144783,20
B,1337,5 rpi5 + 10 rpi4,FedAvg,15/15,1.0,1.0,g72gi4nc,0.7216,0.7216,7865.106322763022,131.0851053793837,358.187055043703,20
B,1338,5 rpi5 + 10 rpi4,FedAvg,15/15,1.0,1.0,7omy50op,0.7406,0.7406,8059.4002958969795,134.32333826494965,369.46511231000187,20
B,1339,5 rpi5 + 10 rpi4,FedAvg,15/15,1.0,1.0,ujj3zqhx,0.7314,0.7314,8831.037259862002,147.18395433103336,392.49202997140094,20
C,1337,5 rpi5 + 10 rpi4,HeteroFL,15/15,1.0,1/8,tzfxbsw3,0.6534,0.6534,2879.930552466016,47.99884254110027,110.43490949324769,20
C,1338,5 rpi5 + 10 rpi4,HeteroFL,15/15,1.0,1/8,2qfr68hm,0.6594,0.6594,2840.397586596024,47.3399597766004,111.86652474959992,20
C,1339,5 rpi5 + 10 rpi4,HeteroFL,15/15,1.0,1/8,ob28xz99,0.6161,0.6161,4441.023145394021,74.0170524232337,155.5148395356984,20
D,1337,5 rpi5 + 10 rpi4,FedRolex,15/15,1.0,1/8,6mdnoagt,0.6435,0.6435,2448.1748247510113,40.80291374585019,96.67049706950202,20
D,1338,5 rpi5 + 10 rpi4,FedRolex,15/15,1.0,1/8,pmkh74e7,0.6445,0.6507,4052.027009270008,67.53378348783346,131.5200549264511,20
D,1339,5 rpi5 + 10 rpi4,FedRolex,15/15,1.0,1/8,pdc8ren0,0.5943,0.5943,4445.188710839022,74.08647851398369,155.28231122779835,20
E,1337,5 rpi5 + 10 rpi4,FIARSE,15/15,1.0,1/8,cxrzamhs,0.6799,0.6799,8300.425005633006,138.34041676055008,388.33557503140037,20
E,1338,5 rpi5 + 10 rpi4,FIARSE,15/15,1.0,1/8,jbpa4i7h,0.6945,0.6945,9598.793222164995,159.97988703608326,435.68379604020447,20
E,1339,5 rpi5 + 10 rpi4,FIARSE,15/15,1.0,1/8,2f390yeq,0.6604,0.6604,10014.197010567994,166.90328350946658,451.6065439441489,20
