case,seed,run_id,wall_clock_s,wall_clock_min,server_round,eval_acc
A,1337,xfb856p2,51.765663923,0.8627610653833333,,0.1386
A,1337,xfb856p2,172.921202769,2.8820200461499996,1,0.2843
A,1337,xfb856p2,248.2068558,4.13678093,2,0.3945
A,1337,xfb856p2,324.426052316,5.407100871933333,3,0.4318
A,1337,xfb856p2,399.880497287,6.664674954783334,4,0.4757
A,1337,xfb856p2,476.12562689,7.935427114833333,5,0.5023
A,1337,xfb856p2,551.417821226,9.190297020433333,6,0.5322
A,1337,xfb856p2,626.713594471,10.445226574516665,7,0.5564
A,1337,xfb856p2,702.033820611,11.70056367685,8,0.5761
A,1337,xfb856p2,779.347769628,12.9891294938,9,0.5899
A,1337,xfb856p2,854.756720944,14.245945349066666,10,0.6047
A,1337,xfb856p2,930.206279112,15.5034379852,11,0.6155
A,1337,xfb856p2,1005.535845966,16.7589307661,12,0.6263
A,1337,xfb856p2,1083.838944512,18.06398240853333,13,0.6373
A,1337,xfb856p2,1159.233936171,19.320565602850003,14,0.6471
A,1337,xfb856p2,1234.829370258,20.580489504299997,15,0.6562
A,1337,xfb856p2,1310.04743671,21.834123945166667,16,0.6666
A,1337,xfb856p2,1385.33450852,23.088908475333334,17,0.6735
A,1337,xfb856p2,1460.613742567,24.343562376116665,18,0.6787
A,1337,xfb856p2,1538.895076517,25.648251275283332,19,0.6819
A,1337,xfb856p2,1615.300512978,26.9216752163,20,0.6854
A,1338,krrq6dk8,40.534373749,0.6755728958166666,,0.0998
A,1338,krrq6dk8,158.573682111,2.64289470185,1,0.2838
A,1338,krrq6dk8,236.75087092,3.945847848666667,2,0.4246
A,1338,krrq6dk8,311.959677178,5.199327952966667,3,0.4935
A,1338,krrq6dk8,387.019351187,6.450322519783333,4,0.5362
A,1338,krrq6dk8,463.270714473,7.72117857455,5,0.563
A,1338,krrq6dk8,538.392864269,8.973214404483334,6,0.583
A,1338,krrq6dk8,614.460800568,10.241013342799999,7,0.603
A,1338,krrq6dk8,689.58836509,11.493139418166667,8,0.6209
A,1338,krrq6dk8,764.668643987,12.744477399783333,9,0.6341
A,1338,krrq6dk8,842.835612897,14.04726021495,10,0.6477
A,1338,krrq6dk8,918.013350816,15.3002225136,11,0.6577
A,1338,krrq6dk8,993.012020112,16.5502003352,12,0.6663
A,1338,krrq6dk8,1071.118693113,17.851978218550002,13,0.6737
A,1338,krrq6dk8,1146.363709418,19.106061823633336,14,0.6811
A,1338,krrq6dk8,1224.51154752,20.408525792,15,0.6874
A,1338,krrq6dk8,1299.622638086,21.660377301433336,16,0.6942
A,1338,krrq6dk8,1374.708408758,22.911806812633333,17,0.6974
A,1338,krrq6dk8,1452.798541983,24.21330903305,18,0.705
A,1338,krrq6dk8,1527.861338679,25.464355644650002,19,0.7081
A,1338,krrq6dk8,1602.903858235,26.715064303916666,20,0.7148
A,1339,1g4o2zwd,38.880555872,0.6480092645333334,,0.1011
A,1339,1g4o2zwd,157.427582268,2.6237930378,1,0.3297
A,1339,1g4o2zwd,232.875269091,3.88125448485,2,0.4288
A,1339,1g4o2zwd,309.399215577,5.15665359295,3,0.4736
A,1339,1g4o2zwd,388.055619473,6.467593657883333,4,0.5071
A,1339,1g4o2zwd,466.603257212,7.776720953533333,5,0.5321
A,1339,1g4o2zwd,542.14906687,9.035817781166665,6,0.5572
A,1339,1g4o2zwd,617.834332886,10.297238881433334,7,0.5759
A,1339,1g4o2zwd,693.288410093,11.554806834883333,8,0.5927
A,1339,1g4o2zwd,768.721114164,12.812018569400001,9,0.6067
A,1339,1g4o2zwd,844.222147688,14.070369128133333,10,0.6204
A,1339,1g4o2zwd,919.841534054,15.330692234233334,11,0.6317
A,1339,1g4o2zwd,995.400134422,16.590002240366665,12,0.642
A,1339,1g4o2zwd,1070.96259737,17.849376622833333,13,0.6495
A,1339,1g4o2zwd,1146.499238121,19.10832063535,14,0.6583
A,1339,1g4o2zwd,1222.057185788,20.367619763133334,15,0.6631
A,1339,1g4o2zwd,1297.52970354,21.625495059,16,0.6688
A,1339,1g4o2zwd,1374.228334766,22.90380557943333,17,0.6758
A,1339,1g4o2zwd,1449.618836687,24.160313944783336,18,0.6811
A,1339,1g4o2zwd,1525.041588395,25.41735980658333,19,0.6858
A,1339,1g4o2zwd,1600.41124004,26.67352066733333,20,0.6881
B,1337,vq2hb555,223.230584327,3.7205097387833335,,0.1386
B,1337,vq2hb555,614.747603552,10.245793392533333,1,0.2444
B,1337,vq2hb555,964.217369872,16.070289497866664,2,0.3836
B,1337,vq2hb555,1309.836190617,21.83060317695,3,0.4446
B,1337,vq2hb555,1661.49658682,27.691609780333334,4,0.4906
B,1337,vq2hb555,2010.186462576,33.5031077096,5,0.5271
B,1337,vq2hb555,2358.940229893,39.31567049821667,6,0.5551
B,1337,vq2hb555,2710.73727708,45.178954618,7,0.5773
B,1337,vq2hb555,3059.586740019,50.99311233365,8,0.5975
B,1337,vq2hb555,3409.22165996,56.82036099933334,9,0.6141
B,1337,vq2hb555,3759.049896435,62.65083160725,10,0.6271
B,1337,vq2hb555,4114.902405133,68.58170675221666,11,0.6395
B,1337,vq2hb555,4463.545430858,74.39242384763334,12,0.6481
B,1337,vq2hb555,4813.21276837,80.22021280616667,13,0.6584
B,1337,vq2hb555,5161.881028464,86.0313504744,14,0.6668
B,1337,vq2hb555,5510.566746391,91.84277910651667,15,0.6749
B,1337,vq2hb555,5859.275451048,97.6545908508,16,0.6811
B,1337,vq2hb555,6214.987578007,103.58312630011666,17,0.6877
B,1337,vq2hb555,6572.640078835,109.54400131391667,18,0.693
B,1337,vq2hb555,6921.297459833,115.35495766388334,19,0.6961
B,1337,vq2hb555,7271.878008162,121.1979668027,20,0.704
B,1338,2ed7dhxe,225.709787619,3.76182979365,,0.0998
B,1338,2ed7dhxe,665.458066763,11.090967779383334,1,0.262
B,1338,2ed7dhxe,1055.531887521,17.592198125350002,2,0.4327
B,1338,2ed7dhxe,1443.228328638,24.0538054773,3,0.503
B,1338,2ed7dhxe,1831.013950558,30.516899175966667,4,0.5485
B,1338,2ed7dhxe,2218.639692488,36.977328208133336,5,0.5765
B,1338,2ed7dhxe,2608.353734997,43.47256224995,6,0.5975
B,1338,2ed7dhxe,2999.224284623,49.98707141038334,7,0.6182
B,1338,2ed7dhxe,3385.098991785,56.41831652975,8,0.6368
B,1338,2ed7dhxe,3773.962700049,62.89937833415,9,0.6522
B,1338,2ed7dhxe,4161.675573623,69.36125956038333,10,0.6643
B,1338,2ed7dhxe,4555.453847025,75.92423078375,11,0.6749
B,1338,2ed7dhxe,4940.269922981,82.33783204968333,12,0.6858
B,1338,2ed7dhxe,5331.01916983,88.85031949716667,13,0.6948
B,1338,2ed7dhxe,5724.860466325,95.41434110541667,14,0.7061
B,1338,2ed7dhxe,6115.598186099,101.92663643498332,15,0.7119
B,1338,2ed7dhxe,6506.296167418,108.43826945696667,16,0.719
B,1338,2ed7dhxe,6895.031886367,114.91719810611667,17,0.723
B,1338,2ed7dhxe,7285.736923196,121.42894871993333,18,0.7273
B,1338,2ed7dhxe,7671.416687343,127.85694478905,19,0.7314
B,1338,2ed7dhxe,8065.120357712,134.41867262853333,20,0.7343
B,1339,vipil02r,225.070754827,3.7511792471166667,,0.1011
B,1339,vipil02r,631.44767118,10.524127853000001,1,0.2922
B,1339,vipil02r,986.147147431,16.435785790516668,2,0.3557
B,1339,vipil02r,1331.868094626,22.197801577099998,3,0.4257
B,1339,vipil02r,1687.547092291,28.125784871516665,4,0.4791
B,1339,vipil02r,2039.344693698,33.989078228299995,5,0.5226
B,1339,vipil02r,2366.196717514,39.436611958566665,6,0.5559
B,1339,vipil02r,2713.267305891,45.22112176485,7,0.5813
B,1339,vipil02r,3069.661083263,51.161018054383334,8,0.6008
B,1339,vipil02r,3425.012991573,57.08354985955,9,0.6155
B,1339,vipil02r,3776.7886268,62.94647711333334,10,0.6292
B,1339,vipil02r,4129.32563096,68.82209384933334,11,0.6433
B,1339,vipil02r,4475.142795919,74.58571326531666,12,0.6546
B,1339,vipil02r,4826.907397594,80.44845662656667,13,0.6638
B,1339,vipil02r,5178.431788929,86.30719648214999,14,0.674
B,1339,vipil02r,5531.008666102,92.18347776836666,15,0.6819
B,1339,vipil02r,5882.625456895,98.04375761491666,16,0.6882
B,1339,vipil02r,6234.389638066,103.90649396776666,17,0.6927
B,1339,vipil02r,6584.124899553,109.73541499255,18,0.6986
B,1339,vipil02r,6942.637766085,115.71062943475,19,0.7019
B,1339,vipil02r,7297.241678928,121.6206946488,20,0.7088
C,1337,0qujvgnw,69.23521925,1.1539203208333333,,0.1121
C,1337,0qujvgnw,223.957511074,3.7326251845666665,1,0.277
C,1337,0qujvgnw,333.617994747,5.5602999124500005,2,0.3878
C,1337,0qujvgnw,446.358067522,7.439301125366667,3,0.4349
C,1337,0qujvgnw,558.179116087,9.302985268116666,4,0.4835
C,1337,0qujvgnw,670.109979692,11.168499661533334,5,0.5171
C,1337,0qujvgnw,781.974249061,13.032904151016668,6,0.5443
C,1337,0qujvgnw,893.704817848,14.895080297466667,7,0.5652
C,1337,0qujvgnw,1005.556668854,16.759277814233332,8,0.5839
C,1337,0qujvgnw,1117.334176461,18.622236274349998,9,0.5966
C,1337,0qujvgnw,1229.34419128,20.489069854666663,10,0.613
C,1337,0qujvgnw,1341.162168698,22.352702811633332,11,0.6271
C,1337,0qujvgnw,1452.808489944,24.2134748324,12,0.6396
C,1337,0qujvgnw,1563.549631581,26.059160526350002,13,0.6502
C,1337,0qujvgnw,1675.34021839,27.92233697316667,14,0.6581
C,1337,0qujvgnw,1787.126159611,29.785435993516668,15,0.668
C,1337,0qujvgnw,1898.855215654,31.647586927566667,16,0.6747
