task,regime,method,label,seed,run_id,target_acc,target_reached,best_acc,final_acc,target_client_trips,target_wall_clock_s,post_warmup_target_wall_clock_s,final_client_trips,runtime_s,rpi4_weight_share,coverage_gain_mean,coverage_mass_mean
cifar10_cnn,iid,heterofl,HeteroFL,1337,skgjfp96,0.7,True,0.7073,0.7073,200.0,1490.2227358189994,1274.8369076050003,200.0,1623.1911750910222,0.5,,
cifar10_cnn,iid,heterofl,HeteroFL,1338,swcyl60o,0.7,True,0.7014,0.7014,180.0,1262.4668948560002,951.2998219380002,180.0,1546.821665888,0.5,,
cifar10_cnn,iid,heterofl,HeteroFL,1339,0fprnayr,0.7,True,0.7086,0.7086,200.0,1608.1856730719992,1074.6137391659995,200.0,1820.8752018150008,0.5,,
cifar10_cnn,iid,async_heterofl,Async HeteroFL,1337,rbbmbqrk,0.7,True,0.7033,0.7033,240.0,3143.84623428603,1230.6209529869961,240.0,3164.600668169034,0.44218026672005456,,
cifar10_cnn,iid,async_heterofl,Async HeteroFL,1338,tdvy3281,0.7,True,0.701,0.701,220.0,1462.4278862309875,1034.525653588993,220.0,1483.0809227119898,0.4483608915309927,,
cifar10_cnn,iid,async_heterofl,Async HeteroFL,1339,yh7l1gn2,0.7,True,0.7046,0.7046,220.0,1500.3092857820002,1047.1312697940002,220.0,1521.067350841,0.444202060653088,,
cifar10_cnn,iid,fedcover_025,FedCover (gamma=0.25),1337,09hgsf50,0.7,True,0.7034,0.7034,180.0,1810.1741574839689,883.8375334860175,180.0,1830.9184401619711,0.43715368407821104,1.4825562238693235,0.270693302154541
cifar10_cnn,iid,fedcover_025,FedCover (gamma=0.25),1338,3mneknxw,0.7,True,0.706,0.706,200.0,1689.041389071033,940.0900475310043,200.0,1709.527354168997,0.445415180140246,1.5761970281600952,0.1725325733423233
cifar10_cnn,iid,fedcover_025,FedCover (gamma=0.25),1339,0v5kju3r,0.7,True,0.7004,0.7004,180.0,1614.5945824580003,858.9979716630005,180.0,1635.2149980550005,0.45873941076416086,1.226919174194336,0.44285017251968384
cifar10_cnn,iid,fedcover_050,FedCover (gamma=0.5),1337,0gdpojh3,0.7,True,0.7068,0.7068,180.0,1331.707320822985,838.5578609069926,180.0,1352.7983829939622,0.4378609818348217,1.4545563459396362,0.4739714562892914
cifar10_cnn,iid,fedcover_050,FedCover (gamma=0.5),1338,m8o9ponh,0.7,True,0.7065,0.7065,180.0,1224.738910188,852.31030164,180.0,1245.6689736259998,0.4519658582230817,1.8536784648895264,0.2339988648891449
cifar10_cnn,iid,fedcover_050,FedCover (gamma=0.5),1339,d1vif1gu,0.7,True,0.7041,0.7041,160.0,1044.3625186559984,724.1831847839985,160.0,1065.1218887659998,0.4378828007050907,1.7331198453903198,0.33947160840034485
cifar10_cnn,iid,fedcover_100,FedCover (gamma=1.0),1337,mv2gxvn3,0.7,True,0.7109,0.7109,160.0,1873.245378045016,740.9959492929629,160.0,1893.9179018590369,0.4537566465323884,1.9978094100952148,0.1870255023241043
cifar10_cnn,iid,fedcover_100,FedCover (gamma=1.0),1338,90ops15j,0.7,True,0.7012,0.7012,140.0,1077.097222887,609.553329388,140.0,1097.970156771,0.4399947707212441,1.9698115587234497,0.507728636264801
cifar10_cnn,iid,fedcover_100,FedCover (gamma=1.0),1339,6to03qrl,0.7,True,0.7096,0.7096,160.0,1501.0155616069997,762.6858486839992,160.0,1521.5231439749996,0.41343864724402707,1.6771515607833862,0.5999024510383606
cifar10_cnn,iid,fedbuff_full,Full-model FedBuff,1337,ml89yipf,0.7,True,0.7043,0.7043,120.0,2477.6252523509975,1175.7066748840007,120.0,2498.3752373149982,0.3364166405350408,,
cifar10_cnn,iid,fedbuff_full,Full-model FedBuff,1338,l7fazyan,0.7,True,0.7074,0.7074,120.0,2315.0707829599996,1209.7359774159995,120.0,2335.521536332002,0.35040786527656503,,
cifar10_cnn,iid,fedbuff_full,Full-model FedBuff,1339,xdrjj60u,0.7,True,0.7092,0.7092,120.0,1631.4498048230016,1184.6764646779993,120.0,1652.097559504,0.3422966842449642,,
cifar10_cnn,noniid,heterofl,HeteroFL,1337,p7mswz2d,0.6,False,0.5459,0.5459,500.0,4401.976736543002,3202.9378853560193,500.0,4401.976736543002,0.5,,
cifar10_cnn,noniid,heterofl,HeteroFL,1338,uez5yc9s,0.6,True,0.6006,0.6006,340.0,2646.806068020989,1778.0849630819866,340.0,3354.785811512964,0.5,,
cifar10_cnn,noniid,heterofl,HeteroFL,1339,z2a8to3q,0.6,True,0.6024,0.6024,420.0,2237.3992168119876,2097.9507540120394,420.0,2366.6627803419833,0.5,,
cifar10_cnn,noniid,async_heterofl,Async HeteroFL,1337,entgqdnf,0.6,True,0.6093,0.6093,420.0,2898.024812849995,1948.1442370949662,420.0,2918.8028768490185,0.469155654883423,,
cifar10_cnn,noniid,async_heterofl,Async HeteroFL,1338,l1qhsxeq,0.6,True,0.6024,0.6024,360.0,1845.946142730012,1490.7761911840062,360.0,1866.697290386015,0.4240869499980626,,
cifar10_cnn,noniid,async_heterofl,Async HeteroFL,1339,wi1dsf8d,0.6,True,0.6051,0.6051,420.0,2129.6750067340326,1817.9090337009984,420.0,2150.2696933689876,0.45703928644795455,,
cifar10_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1337,zi9feeeu,0.6,True,0.6031,0.6031,180.0,2229.994870049006,814.8963843979873,180.0,2251.033092433994,0.4824531318626597,1.1864571571350098,0.5055111646652222
cifar10_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1338,fzw6cb7h,0.6,True,0.6025,0.6025,480.0,3408.079776066006,2169.602784071001,480.0,3428.896138524986,0.4481387962349491,1.3551698923110962,0.3174143135547638
cifar10_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1339,fdyjrc8t,0.6,True,0.611,0.611,280.0,2159.804950511956,1220.129050198011,280.0,2180.819003000972,0.4519629235879092,1.395642876625061,0.290277361869812
