task,task_label,regime,method,label,execution,coverage,target_acc,n,target_reached_count,target_censored,best_acc_mean,best_acc_std,final_acc_mean,final_acc_std,target_client_trips_mean,target_client_trips_std,target_wall_clock_min_mean,target_wall_clock_min_std,post_warmup_target_wall_clock_min_mean,post_warmup_target_wall_clock_min_std,runtime_min_mean,runtime_min_std,rpi4_weight_share_mean,rpi4_weight_share_std,coverage_gain_mean,coverage_gain_std,coverage_mass_mean,coverage_mass_std
cifar10_cnn,CIFAR-10,iid,heterofl,HeteroFL,sync,--,0.7,3,3,False,0.7057666666666668,0.0038370995990895666,0.7057666666666668,0.0038370995990895666,193.33333333333334,11.547005383792515,24.22708502081666,2.9290171154274143,18.337502603938887,2.72141613771555,27.727155793300128,2.3571857917924492,0.5,0.0,,,,
cifar10_cnn,CIFAR-10,iid,async_heterofl,Async HeteroFL,async,off,0.7,3,3,False,0.7029666666666667,0.0018230011885167375,0.7029666666666667,0.0018230011885167375,226.66666666666666,11.547005383792515,33.925463368327875,16.00031302168635,18.40154375761105,1.829297728083284,34.27082745401125,16.000800599546423,0.4449144063013784,0.003151286722177893,,,,
cifar10_cnn,CIFAR-10,iid,fedcover_025,FedCover (gamma=0.25),async,on,0.7,3,3,False,0.7038666666666668,0.004315476026272562,0.7038666666666668,0.004315476026272562,193.33333333333334,11.547005383792515,19.921165739327744,0.6430613382076664,15.24514548172786,1.3927898559940814,20.268253205150057,0.6409691981377371,0.4486668937102339,0.005303764073317583,1.2341833511988323,0.1081601568084058,0.45654186606407166,0.14815316130655568
cifar10_cnn,CIFAR-10,iid,fedcover_050,FedCover (gamma=0.5),async,on,0.7,3,3,False,0.7023333333333334,0.0014224392195567998,0.7023333333333334,0.0014224392195567998,166.66666666666666,11.547005383792515,17.05147308490058,0.9442583755901545,12.718794601272869,1.1052813597102307,17.397285291672194,0.9454818716637035,0.4401592688956229,0.027778262918212743,2.026920437812805,0.5631083540977865,0.308493693669637,0.19209535088555535
cifar10_cnn,CIFAR-10,iid,fedcover_100,FedCover (gamma=1.0),async,on,0.7,3,3,False,0.7065,0.005150728103870345,0.7065,0.005150728103870345,133.33333333333334,11.547005383792515,13.76338425704485,0.569948903031898,9.748594685033376,0.8869445695987697,14.109186211155935,0.5690697191529656,0.43621712666795914,0.012603565507936803,2.6532092889149985,0.05823168276765731,0.31772539019584656,0.05164813113543726
cifar10_cnn,CIFAR-10,iid,fedcover_150,FedCover (gamma=1.5),async,on,0.7,3,3,False,0.7044666666666667,0.0015534906930308205,0.7044666666666667,0.0015534906930308205,126.66666666666667,11.547005383792515,13.736406488633172,2.1189895766649625,9.296626898171638,1.1000341983165074,14.084465045650076,2.121529014943579,0.4257250449573798,0.005721290092077467,2.732083876927694,0.169658133790868,0.39019543925921124,0.12325818080808226
cifar10_cnn,CIFAR-10,iid,fedbuff_full,Full-model FedBuff,async,--,0.7,3,3,False,0.7069666666666667,0.00247857485933618,0.7069666666666667,0.00247857485933618,120.0,0.0,35.689699111855546,7.483854489608189,19.83399509432222,0.2939537109589176,36.03330185083889,7.483857838549101,0.34304039668552333,0.007025199184908707,,,,
cifar10_cnn,CIFAR-10,noniid,heterofl,HeteroFL,sync,--,0.6,3,2,True,0.5829666666666667,0.03211328904571023,0.5829666666666667,0.03211328904571023,420.0,80.0,51.58990011875543,19.16501669755791,39.32763112472247,12.460152291508743,56.24125182443305,16.96333035646362,0.5,0.0,,,,
cifar10_cnn,CIFAR-10,noniid,async_heterofl,Async HeteroFL,async,off,0.6,3,3,False,0.6056,0.0034770677301426975,0.6056,0.0034770677301426975,400.0,34.64101615137755,38.186922012855774,9.072070032443497,29.20460812211095,3.9273650239479774,38.532054781133446,9.07270715579033,0.45009396377648003,0.023323275290342463,,,,
cifar10_cnn,CIFAR-10,noniid,fedcover_025,FedCover (gamma=0.25),async,on,0.6,3,3,False,0.6122666666666666,0.008310435207215873,0.6122666666666666,0.008310435207215873,380.0,150.99668870541498,31.31708804797769,11.365592780738266,27.53370352343902,11.399743532396956,31.66547181093289,11.363282621644371,0.435950969056812,0.011337676152565805,1.2715053955713909,0.07599527154927649,0.40265341599782306,0.09100798968044715
