method,avg_params,mean_score,std_score,n_runs
heterofl,39050.0,0.5578,0.01131577070581876,3
heterofl,76298.0,0.6368333333333333,0.0035668224265054337,3
heterofl,113546.0,0.6567333333333333,0.0025772509040103675,3
heterofl,150794.0,0.6653666666666668,0.0018660713336371242,3
heterofl,188042.0,0.6680333333333334,0.0016213848676020506,3
heterofl,225290.0,0.6737333333333333,0.0009463379711052183,3
heterofl,262538.0,0.6755,0.0012961481396815664,3
heterofl,299786.0,0.6772666666666667,0.0019686430746977505,3
heterofl,337034.0,0.6792666666666666,0.0015584892970081107,3
fedrolex,39050.0,0.5575,0.00280832096931009,3
fedrolex,76298.0,0.6369666666666667,0.0016659998666133113,3
fedrolex,113546.0,0.6522333333333333,0.004000277768133392,3
fedrolex,150794.0,0.6629,0.0036175498153676803,3
fedrolex,188042.0,0.6685666666666666,0.003831738798799086,3
fedrolex,225290.0,0.6726333333333333,0.003104119127152727,3
fedrolex,262538.0,0.6759999999999998,0.0027724838442570923,3
fedrolex,299786.0,0.6774666666666667,0.0029408993333483583,3
fedrolex,337034.0,0.681,0.003522309848191498,3
fiarse,39050.0,0.5929,0.015928799912945917,3
fiarse,76298.0,0.6503666666666666,0.006126626768096424,3
fiarse,113546.0,0.6633,0.005198076567346789,3
fiarse,150794.0,0.6682666666666667,0.005977922344389836,3
fiarse,188042.0,0.6737333333333333,0.005914013489632566,3
fiarse,225290.0,0.6768000000000001,0.005127052434554037,3
fiarse,262538.0,0.6787666666666666,0.005277204647243519,3
fiarse,299786.0,0.6797333333333334,0.003706151043273278,3
fiarse,337034.0,0.6810333333333333,0.002361261433123326,3
