pair,method,seed,mix,avg_params,train_duration_s,score,run_id,created_at
pair_a_c,fedrolex,1337,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.402747612982058,0.5759,0rw9mbqb,2026-04-20T05:11:27Z
pair_a_c,fedrolex,1338,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.470654925034614,0.6022,0n2hg8ux,2026-04-26T13:54:42Z
pair_a_c,fedrolex,1339,"0:1,1:0.25,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",59440.4,8.45065196682408,0.5922,lm8fqle5,2026-04-29T20:46:41Z
pair_a_c,fedrolex,1337,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.376116776606068,0.646,7ah1ai8d,2026-04-20T06:26:50Z
pair_a_c,fedrolex,1338,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.429558873007773,0.6524,zc4sqtdj,2026-04-26T15:10:38Z
pair_a_c,fedrolex,1339,"0:1,1:1,2:0.25,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",94422.8,10.376403158906031,0.6417,xsufjvnw,2026-04-29T22:03:32Z
pair_a_c,fedrolex,1337,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.300634769105818,0.6691,jyfd59ip,2026-04-20T07:43:10Z
pair_a_c,fedrolex,1338,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.33954582880251,0.6617,hdfzezra,2026-04-26T16:27:17Z
pair_a_c,fedrolex,1339,"0:1,1:1,2:1,3:0.25,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",129405.2,12.3376234118914,0.6643,xt5jps7t,2026-04-29T23:20:13Z
pair_a_c,fedrolex,1337,"0:1,1:1,2:1,3:1,4:0.25,5:0.25,6:0.25,7:0.25,8:0.25,9:0.25",164387.6,14.25317207822809,0.6749,m13k8su1,2026-04-20T08:59:40Z
