method,seed,server_step,rpi4_update_share,rpi4_weight_share
fedasync,1337,1,0.0,0.0
fedasync,1337,2,0.0,0.0
fedasync,1337,3,0.0,0.0
fedasync,1337,4,0.0,0.0
fedasync,1337,5,0.0,0.0
fedasync,1337,6,0.0,0.0
fedasync,1337,7,0.0,0.0
fedasync,1337,8,0.0,0.0
fedasync,1337,9,0.0,0.0
fedasync,1337,10,0.0,0.0
fedasync,1337,11,0.0,0.0
fedasync,1337,12,1.0,0.2886751345948129
fedasync,1337,13,0.0,0.0
fedasync,1337,14,0.0,0.0
fedasync,1337,15,0.0,0.0
fedasync,1337,16,0.0,0.0
fedasync,1337,17,0.0,0.0
fedasync,1337,18,1.0,0.23570226039551587
fedasync,1337,19,0.0,0.0
fedasync,1337,20,0.0,0.0
fedasync,1337,21,0.0,0.0
fedasync,1337,22,0.0,0.0
fedasync,1337,23,0.0,0.0
fedasync,1337,24,0.0,0.0
fedasync,1337,25,0.0,0.0
fedasync,1337,26,0.0,0.0
fedasync,1337,27,0.0,0.0
fedasync,1337,28,0.0,0.0
fedasync,1337,29,0.0,0.0
fedasync,1337,30,1.0,0.18257418583505536
fedasync,1337,31,0.0,0.0
fedasync,1337,32,0.0,0.0
fedasync,1337,33,0.0,0.0
fedasync,1337,34,0.0,0.0
fedasync,1337,35,0.0,0.0
fedasync,1337,36,0.0,0.0
fedasync,1337,37,0.0,0.0
fedasync,1337,38,1.0,0.16222142113076254
fedasync,1337,39,0.0,0.0
fedasync,1337,40,1.0,0.1889822365046136
fedasync,1337,41,1.0,0.20851441405707477
fedasync,1337,42,0.0,0.0
fedasync,1337,43,1.0,0.15249857033260467
fedasync,1337,44,0.0,0.0
fedasync,1337,45,0.0,0.0
fedasync,1337,46,0.0,0.0
fedasync,1337,47,0.0,0.0
fedasync,1337,48,0.0,0.0
fedasync,1337,49,0.0,0.0
fedasync,1337,50,0.0,0.0
fedasync,1337,51,0.0,0.0
fedasync,1337,52,0.0,0.0
fedasync,1337,53,0.0,0.0
fedasync,1337,54,0.0,0.0
fedasync,1337,55,0.0,0.0
fedasync,1337,56,0.0,0.0
fedasync,1337,57,0.0,0.0
fedasync,1337,58,0.0,0.0
fedasync,1337,59,0.0,0.0
fedasync,1337,60,1.0,0.22360679774997896
fedasync,1337,61,1.0,0.22360679774997896
fedasync,1337,62,1.0,0.20412414523193154
fedasync,1337,63,0.0,0.0
fedasync,1337,64,0.0,0.0
fedasync,1337,65,0.0,0.0
fedasync,1337,66,0.0,0.0
fedasync,1337,67,0.0,0.0
fedasync,1337,68,1.0,0.16222142113076254
fedasync,1337,69,0.0,0.0
fedasync,1337,70,0.0,0.0
fedasync,1337,71,0.0,0.0
fedasync,1337,72,0.0,0.0
fedasync,1337,73,0.0,0.0
fedasync,1337,74,0.0,0.0
fedasync,1337,75,0.0,0.0
fedasync,1337,76,0.0,0.0
fedasync,1337,77,0.0,0.0
fedasync,1337,78,0.0,0.0
fedasync,1337,79,1.0,0.16666666666666666
fedasync,1337,80,0.0,0.0
fedasync,1337,81,0.0,0.0
fedasync,1337,82,0.0,0.0
fedasync,1337,83,0.0,0.0
fedasync,1337,84,0.0,0.0
fedasync,1337,85,1.0,0.2
fedasync,1337,86,0.0,0.0
fedasync,1337,87,0.0,0.0
fedasync,1337,88,0.0,0.0
fedasync,1337,89,0.0,0.0
fedasync,1337,90,0.0,0.0
fedasync,1337,91,1.0,0.18257418583505536
fedasync,1337,92,1.0,0.18257418583505536
