regime,topology,method,x,n,eval_acc_mean,eval_acc_std
iid,all_rpi5,fedavg,15.0,3,0.4017,0.00045825756949558806
iid,all_rpi5,fedavg,30.0,3,0.44356666666666666,0.0011239810200058093
iid,all_rpi5,fedavg,45.0,3,0.47503333333333336,0.001504437879519562
iid,all_rpi5,fedavg,60.0,3,0.5,0.003439476704383983
iid,all_rpi5,fedavg,75.0,3,0.5187,0.004590206967011394
iid,all_rpi5,fedavg,90.0,3,0.5356333333333333,0.0015011106998929899
iid,all_rpi5,fedavg,105.0,3,0.5498999999999999,0.0009539392014169686
iid,all_rpi5,fedavg,120.0,3,0.5598,0.0020074859899884786
iid,all_rpi5,fedavg,135.0,3,0.5718,0.00017320508075686865
iid,all_rpi5,fedavg,150.0,3,0.5817,0.0011135528725659913
iid,all_rpi5,fedavg,165.0,3,0.5896666666666667,0.0009609023536933089
iid,all_rpi5,fedavg,180.0,3,0.5984333333333334,0.0015307950004273374
iid,all_rpi5,fedavg,195.0,3,0.6056333333333334,0.0019425069712444177
iid,all_rpi5,fedbuff,10.0,3,0.3747,0.0302841542724904
iid,all_rpi5,fedbuff,20.0,3,0.39166666666666666,0.01313938101028102
iid,all_rpi5,fedbuff,30.0,3,0.4018,0.010868302535354809
iid,all_rpi5,fedbuff,40.0,3,0.42449999999999993,0.006869497798238228
iid,all_rpi5,fedbuff,50.0,3,0.4442,0.017423260314877915
iid,all_rpi5,fedbuff,60.0,3,0.4562,0.012510795338426726
iid,all_rpi5,fedbuff,70.0,3,0.46609999999999996,0.010650352106855433
iid,all_rpi5,fedbuff,80.0,3,0.4797,0.013368619973654705
iid,all_rpi5,fedbuff,90.0,3,0.4940333333333333,0.021970965689594363
iid,all_rpi5,fedbuff,100.0,3,0.49933333333333335,0.02016167982419452
iid,all_rpi5,fedbuff,110.0,3,0.5040333333333333,0.015392963760541192
iid,all_rpi5,fedbuff,120.0,3,0.5104333333333333,0.018124660916368433
iid,all_rpi5,fedbuff,130.0,3,0.5188,0.02149627874772748
iid,all_rpi5,fedbuff,140.0,3,0.5230333333333334,0.020903667939702178
iid,all_rpi5,fedbuff,150.0,3,0.5272333333333333,0.02023099931623087
iid,all_rpi5,fedbuff,160.0,3,0.5369,0.023951826652679368
iid,all_rpi5,fedbuff,170.0,3,0.5431666666666667,0.025493986218975886
iid,all_rpi5,fedbuff,180.0,3,0.5464666666666667,0.026832132478305484
iid,all_rpi5,fedbuff,190.0,3,0.5531,0.028161676086483223
iid,all_rpi5,fedbuff,200.0,3,0.5571666666666667,0.029367555794334206
iid,all_rpi5,fedbuff,210.0,3,0.5603333333333333,0.028672693164984258
iid,all_rpi5,fedbuff,220.0,3,0.5649666666666667,0.02690470838595603
iid,all_rpi5,fedbuff,230.0,3,0.5673333333333334,0.026678893030508827
iid,all_rpi5,fedbuff,240.0,3,0.5717333333333333,0.028919255407657593
iid,all_rpi5,fedbuff,250.0,3,0.5743666666666667,0.026647576500187266
iid,all_rpi5,fedbuff,260.0,3,0.5765666666666667,0.024730817482107863
iid,all_rpi5,fedbuff,270.0,3,0.5783999999999999,0.023204956367121207
iid,all_rpi5,fedbuff,280.0,3,0.5806,0.02131642559154791
