regime,topology,method,run_id,client_trip,eval_acc,server_step
iid,all_rpi5,fedavg,c97h9zuy,15,0.4021,1
iid,all_rpi5,fedavg,c97h9zuy,30,0.4448,2
iid,all_rpi5,fedavg,c97h9zuy,45,0.4758,3
iid,all_rpi5,fedavg,c97h9zuy,60,0.4994,4
iid,all_rpi5,fedavg,c97h9zuy,75,0.5194,5
iid,all_rpi5,fedavg,c97h9zuy,90,0.5365,6
iid,all_rpi5,fedavg,c97h9zuy,105,0.5505,7
iid,all_rpi5,fedavg,c97h9zuy,120,0.5617,8
iid,all_rpi5,fedavg,c97h9zuy,135,0.5717,9
iid,all_rpi5,fedavg,c97h9zuy,150,0.5819,10
iid,all_rpi5,fedavg,c97h9zuy,165,0.5907,11
iid,all_rpi5,fedavg,c97h9zuy,180,0.5996,12
iid,all_rpi5,fedavg,c97h9zuy,195,0.6061,13
iid,all_rpi5,fedbuff,6eom2gov,10,0.3958,1
iid,all_rpi5,fedbuff,6eom2gov,20,0.3795,2
iid,all_rpi5,fedbuff,6eom2gov,30,0.39,3
iid,all_rpi5,fedbuff,6eom2gov,40,0.4322,4
iid,all_rpi5,fedbuff,6eom2gov,50,0.4643,5
iid,all_rpi5,fedbuff,6eom2gov,60,0.4704,6
iid,all_rpi5,fedbuff,6eom2gov,70,0.4779,7
iid,all_rpi5,fedbuff,6eom2gov,80,0.4945,8
iid,all_rpi5,fedbuff,6eom2gov,90,0.5194,9
iid,all_rpi5,fedbuff,6eom2gov,100,0.5226,10
iid,all_rpi5,fedbuff,6eom2gov,110,0.5218,11
iid,all_rpi5,fedbuff,6eom2gov,120,0.5312,12
iid,all_rpi5,fedbuff,6eom2gov,130,0.5433,13
iid,all_rpi5,fedbuff,6eom2gov,140,0.5468,14
iid,all_rpi5,fedbuff,6eom2gov,150,0.5503,15
iid,all_rpi5,fedbuff,6eom2gov,160,0.5644,16
iid,all_rpi5,fedbuff,6eom2gov,170,0.5726,17
iid,all_rpi5,fedbuff,6eom2gov,180,0.5772,18
iid,all_rpi5,fedbuff,6eom2gov,190,0.5855,19
iid,all_rpi5,fedbuff,6eom2gov,200,0.5909,20
iid,all_rpi5,fedbuff,6eom2gov,210,0.5933,21
iid,all_rpi5,fedbuff,6eom2gov,220,0.596,22
iid,all_rpi5,fedbuff,6eom2gov,230,0.5981,23
iid,all_rpi5,fedbuff,6eom2gov,240,0.6051,24
iid,all_rpi5,fedstaleweight,ey33oqo6,10,0.4,1
iid,all_rpi5,fedstaleweight,ey33oqo6,20,0.4105,2
iid,all_rpi5,fedstaleweight,ey33oqo6,30,0.4108,3
iid,all_rpi5,fedstaleweight,ey33oqo6,40,0.4253,4
iid,all_rpi5,fedstaleweight,ey33oqo6,50,0.4441,5
iid,all_rpi5,fedstaleweight,ey33oqo6,60,0.4702,6
iid,all_rpi5,fedstaleweight,ey33oqo6,70,0.4872,7
iid,all_rpi5,fedstaleweight,ey33oqo6,80,0.4999,8
iid,all_rpi5,fedstaleweight,ey33oqo6,90,0.5089,9
iid,all_rpi5,fedstaleweight,ey33oqo6,100,0.5142,10
iid,all_rpi5,fedstaleweight,ey33oqo6,110,0.525,11
iid,all_rpi5,fedstaleweight,ey33oqo6,120,0.5278,12
iid,all_rpi5,fedstaleweight,ey33oqo6,130,0.5358,13
iid,all_rpi5,fedstaleweight,ey33oqo6,140,0.5417,14
iid,all_rpi5,fedstaleweight,ey33oqo6,150,0.547,15
iid,all_rpi5,fedstaleweight,ey33oqo6,160,0.5538,16
iid,all_rpi5,fedstaleweight,ey33oqo6,170,0.5576,17
iid,all_rpi5,fedstaleweight,ey33oqo6,180,0.5666,18
iid,all_rpi5,fedstaleweight,ey33oqo6,190,0.5696,19
iid,all_rpi5,fedstaleweight,ey33oqo6,200,0.5728,20
iid,all_rpi5,fedstaleweight,ey33oqo6,210,0.5781,21
iid,all_rpi5,fedstaleweight,ey33oqo6,220,0.5794,22
iid,all_rpi5,fedstaleweight,ey33oqo6,230,0.5824,23
iid,all_rpi5,fedstaleweight,ey33oqo6,240,0.5863,24
iid,all_rpi5,fedstaleweight,ey33oqo6,250,0.5889,25
iid,all_rpi5,fedstaleweight,ey33oqo6,260,0.5919,26
iid,all_rpi5,fedstaleweight,ey33oqo6,270,0.5999,27
iid,all_rpi5,fedstaleweight,ey33oqo6,280,0.6068,28
noniid,all_rpi5,fedavg,6l03ojrq,15,0.2716,1
noniid,all_rpi5,fedavg,6l03ojrq,30,0.3416,2
noniid,all_rpi5,fedavg,6l03ojrq,45,0.3716,3
noniid,all_rpi5,fedavg,6l03ojrq,60,0.3944,4
noniid,all_rpi5,fedavg,6l03ojrq,75,0.4158,5
noniid,all_rpi5,fedavg,6l03ojrq,90,0.436,6
noniid,all_rpi5,fedavg,6l03ojrq,105,0.4479,7
noniid,all_rpi5,fedavg,6l03ojrq,120,0.463,8
noniid,all_rpi5,fedavg,6l03ojrq,135,0.4731,9
noniid,all_rpi5,fedavg,6l03ojrq,150,0.4837,10
noniid,all_rpi5,fedavg,6l03ojrq,165,0.4953,11
noniid,all_rpi5,fedavg,6l03ojrq,180,0.5027,12
noniid,all_rpi5,fedavg,6l03ojrq,195,0.5106,13
noniid,all_rpi5,fedavg,6l03ojrq,210,0.5211,14
noniid,all_rpi5,fedavg,6l03ojrq,225,0.529,15
noniid,all_rpi5,fedavg,6l03ojrq,240,0.5353,16
noniid,all_rpi5,fedavg,6l03ojrq,255,0.5425,17
noniid,all_rpi5,fedavg,6l03ojrq,270,0.5482,18
noniid,all_rpi5,fedavg,6l03ojrq,285,0.5543,19
noniid,all_rpi5,fedavg,6l03ojrq,300,0.5611,20
noniid,all_rpi5,fedavg,6l03ojrq,315,0.5649,21
noniid,all_rpi5,fedavg,6l03ojrq,330,0.5706,22
noniid,all_rpi5,fedavg,6l03ojrq,345,0.5737,23
noniid,all_rpi5,fedavg,6l03ojrq,360,0.577,24
noniid,all_rpi5,fedavg,6l03ojrq,375,0.5816,25
noniid,all_rpi5,fedavg,6l03ojrq,390,0.5861,26
noniid,all_rpi5,fedavg,6l03ojrq,405,0.5904,27
noniid,all_rpi5,fedavg,6l03ojrq,420,0.5933,28
noniid,all_rpi5,fedavg,6l03ojrq,435,0.5961,29
noniid,all_rpi5,fedavg,6l03ojrq,450,0.5995,30
noniid,all_rpi5,fedavg,6l03ojrq,465,0.6019,31
noniid,all_rpi5,fedbuff,k2bpz79x,10,0.2358,1
noniid,all_rpi5,fedbuff,k2bpz79x,20,0.2823,2
noniid,all_rpi5,fedbuff,k2bpz79x,30,0.2999,3
noniid,all_rpi5,fedbuff,k2bpz79x,40,0.3178,4
noniid,all_rpi5,fedbuff,k2bpz79x,60,0.3337,6
noniid,all_rpi5,fedbuff,k2bpz79x,70,0.3712,7
noniid,all_rpi5,fedbuff,k2bpz79x,130,0.4045,13
noniid,all_rpi5,fedbuff,k2bpz79x,150,0.429,15
noniid,all_rpi5,fedbuff,k2bpz79x,170,0.4245,17
noniid,all_rpi5,fedbuff,k2bpz79x,190,0.4449,19
noniid,all_rpi5,fedbuff,k2bpz79x,200,0.4231,20
noniid,all_rpi5,fedbuff,k2bpz79x,220,0.4544,22
