regime,topology,method,seed,run_id,target_reached,target_client_trips,target_wall_clock_s,final_acc,client_trip_budget,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
iid,all_rpi5,fedavg,1337,c97h9zuy,True,195,621.9268621740048,0.6061,750,195,688.523935965,,,,,
iid,all_rpi5,fedavg,1338,vu1dgghm,True,195,642.7579778640065,0.6035,750,195,713.613605666,,,,,
iid,all_rpi5,fedavg,1339,evb7ctp1,True,195,688.5609491480282,0.6073,750,195,750.758605278,,,,,
iid,all_rpi5,fedasync,1337,od0jg2h8,True,250,711.4776266059998,0.6127,1000,250,730.847318248,,,,13.54,0.3513813936674137
iid,all_rpi5,fedasync,1338,uk2fzey8,True,270,754.589294802001,0.6062,1000,270,773.846052804,,,,13.544444444444444,0.3578105359563127
iid,all_rpi5,fedasync,1339,r0x2kswp,True,250,700.2811528059974,0.6326,1000,250,719.915586272,,,,13.544,0.3569994694249023
iid,all_rpi5,fedbuff,1337,6eom2gov,True,240,637.3709185579937,0.6051,1000,240,656.276215925,,,,1.325,0.3765468316988526
iid,all_rpi5,fedbuff,1338,jvq0wis5,True,400,1018.1889634489926,0.6012,1000,400,1036.374923795,,,,1.355,0.3928543859334795
iid,all_rpi5,fedbuff,1339,nkc9y10n,True,390,983.1345921039756,0.6021,1000,390,1002.46765375,,,,1.353846153846154,0.396690344467865
iid,all_rpi5,fedstaleweight,1337,ey33oqo6,True,280,712.561271737999,0.6068,1000,280,731.150555858,,,,1.3357142857142856,0.3929486643542324
iid,all_rpi5,fedstaleweight,1338,wgzj3fw7,True,270,719.0679680689937,0.6008,1000,270,736.988283775,,,,1.3333333333333333,0.37548606249985794
iid,all_rpi5,fedstaleweight,1339,eoe8x9av,True,270,712.8786066760076,0.6005,1000,270,730.446193635,,,,1.3333333333333333,0.3787461111492028
noniid,all_rpi5,fedavg,1337,6l03ojrq,True,465,1424.2648917170009,0.6019,750,465,1485.723886259,,,,,
noniid,all_rpi5,fedavg,1338,ypycfovi,True,345,1084.0378961530078,0.6032,750,345,1162.749587207,,,,,
noniid,all_rpi5,fedavg,1339,l7hyd4rp,True,465,1452.863373792003,0.6019,750,465,1530.047491167,,,,,
noniid,all_rpi5,fedasync,1337,5y70d2gw,True,890,2258.2126386729997,0.6022,1000,890,2277.404375534,,,,13.870786516853933,0.39411700419983187
noniid,all_rpi5,fedasync,1338,0d4oxuo7,False,,,0.4462,1000,1000,2510.872732642,,,,13.89,0.4013846714260559
