regime,topology,method,run_id,target_reached,target_wall_clock_s,target_client_trips,final_acc
iid,all_rpi5,fedavg,c97h9zuy,True,621.9268621740048,195,0.6061
iid,all_rpi5,fedbuff,6eom2gov,True,637.3709185579937,240,0.6051
iid,all_rpi5,fedstaleweight,ey33oqo6,True,712.561271737999,280,0.6068
noniid,all_rpi5,fedavg,6l03ojrq,True,1424.2648917170009,465,0.6019
noniid,all_rpi5,fedbuff,k2bpz79x,False,,,0.5956
noniid,all_rpi5,fedstaleweight,59wlhy0n,True,1488.9608751759952,630,0.6025
iid,mixed,fedavg,t9vlpy39,True,2091.3060326820014,195,0.6063
iid,mixed,fedbuff,stlelmg4,True,1060.607330474999,370,0.6007
iid,mixed,fedstaleweight,4k0nvn9k,True,862.7468097300007,280,0.6022
noniid,mixed,fedavg,0ysztwpg,True,4337.9159391540015,465,0.603
noniid,mixed,fedbuff,j81afai0,True,2353.767631171002,870,0.604
noniid,mixed,fedstaleweight,wyc9rjxq,True,1806.368915264,660,0.6024
