profile,method,buffer_size,run_id,source,target_reached,target_client_trips,target_wall_clock_s,final_acc,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
none,fedavg,,0ysztwpg,network_main,True,465,4337.9159391540015,0.603,465,4427.849248564,,,,,
none,fedbuff,10,j81afai0,network_main,True,870,2353.767631171002,0.604,870,2373.4650668,0.13908045977011493,0.10103729127661568,3.322314049586777,1.061415220293725,0.369620173409885
none,fedstaleweight,10,wyc9rjxq,network_main,True,660,1806.368915264,0.6024,660,1825.442647788,0.1393939393939394,0.29352799634146376,3.3043478260869565,1.0528169014084507,0.36537386932587984
none,fedbuff,5,f8r1yqsh,network_stressor_sweep,True,530,3499.900576688,0.6059,530,3518.704857418,0.22830188679245284,0.1921133957255986,4.082644628099174,2.34718826405868,0.1514328731307978
none,fedstaleweight,5,qjnt77fk,network_stressor_sweep,False,,,0.403,750,4811.074084949,0.22266666666666668,0.3087785058422829,4.233532934131737,2.3430531732418527,0.1564943591920486
mild,fedavg,,i6bntwqf,network_stressor_sweep,True,465,4442.112492362998,0.6023,465,4708.778164787,,,,,
mild,fedbuff,10,2p9z7l7w,network_stressor_sweep,True,830,4347.089553659025,0.6085,830,4366.044491522,0.20843373493975903,0.175340902573881,2.2832369942196533,1.1385083713850837,0.19093234444672844
mild,fedstaleweight,10,drf94he0,network_stressor_sweep,True,610,3202.370441421983,0.6012,610,3221.265158353,0.2114754098360656,0.3254118009120414,2.255813953488372,1.133056133056133,0.19048389658790857
mild,fedbuff,5,job3dtrj,network_stressor_sweep,True,520,3405.003968901001,0.6025,520,3424.134716761,0.225,0.18836080356292875,4.145299145299146,2.334987593052109,0.15271641523749388
mild,fedstaleweight,5,3463t0ch,network_stressor_sweep,False,,,0.4888,750,4912.836905894,0.2386666666666667,0.31672668710145485,3.9720670391061454,2.3852889667250436,0.15325747320632263
med,fedavg,,2hnjmyey,network_stressor_sweep,True,465,5074.522516954981,0.6029,465,5183.746413494,,,,,
med,fedbuff,10,semxze1r,network_stressor_sweep,True,810,4164.67192761699,0.6086,810,4183.722259369,0.20987654320987653,0.17660335041164857,2.276470588235294,1.1375,0.19449311112087503
med,fedstaleweight,10,6f88023u,network_stressor_sweep,True,580,3040.0436531689775,0.6012,580,3059.052263716,0.2103448275862069,0.3196758573013638,2.262295081967213,1.1310043668122272,0.19078673406396685
med,fedbuff,5,57crpvxi,network_stressor_sweep,True,580,3752.5628831789945,0.601,580,3770.900682919,0.2275862068965517,0.19208509264996454,4.083333333333333,2.361607142857143,0.1545610341667749
med,fedstaleweight,5,navnxljy,network_stressor_sweep,False,,,0.4507,750,4779.088787598,0.23066666666666663,0.31274637631030816,4.08092485549133,2.369150779896014,0.15756464622867652
asym_up,fedavg,,7pgojwmx,network_stressor_sweep,True,450,4951.377391467016,0.6,450,5045.582537486,,,,,
asym_up,fedbuff,10,37qs4r8b,network_stressor_sweep,True,880,4578.345589631994,0.6031,880,4597.360117438,0.2102272727272727,0.1768119463621131,2.2864864864864867,1.1381294964028776,0.19220916874270608
asym_up,fedstaleweight,10,jxdfszfk,network_stressor_sweep,True,620,3293.197473084001,0.6002,620,3311.752967074,0.20806451612903223,0.3263646988768076,2.294573643410853,1.1262729124236253,0.1882668759062859
asym_up,fedbuff,5,6z31wp5b,network_stressor_sweep,True,500,3261.1403503309994,0.6009,500,3280.413082619,0.23,0.19248047229202211,4.147826086956521,2.327272727272727,0.15332060147281026
asym_up,fedstaleweight,5,e47c5qwj,network_stressor_sweep,False,,,0.3958,750,4881.803729327,0.228,0.3090946142780509,4.128654970760234,2.3575129533678756,0.15424493975980713
asym_down,fedavg,,gbw5a7sh,network_stressor_sweep,True,465,5123.148525673983,0.6011,465,5214.383506474,,,,,
asym_down,fedbuff,10,d4yqs2yc,network_stressor_sweep,True,870,4456.458964512014,0.6074,870,4475.398726688,0.2114942528735632,0.17761926604221823,2.2880434782608696,1.1341107871720115,0.19522226209823648
asym_down,fedstaleweight,10,624a37a2,network_stressor_sweep,True,680,3573.9290550099977,0.6006,680,3593.265479675,0.21029411764705885,0.3215985834378996,2.2587412587412588,1.1359404096834265,0.19026678748610407
asym_down,fedbuff,5,dog9c4pg,network_stressor_sweep,True,515,3385.104555748985,0.6064,515,3403.891131025,0.22718446601941747,0.19041266313835042,4.128205128205129,2.341708542713568,0.152137102863002
asym_down,fedstaleweight,5,r9kmeurg,network_stressor_sweep,False,,,0.4824,750,4884.752518809,0.22933333333333333,0.312278847829157,4.145348837209302,2.35121107266436,0.1541348186848275
