profile,method,buffer_size,seed,run_id,source,target_reached,target_client_trips,target_wall_clock_s,final_acc,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
none,fedavg,,1337,0ysztwpg,network_main,True,465,4337.9159391540015,0.603,750,4429.948925530996,,,,,0.16930217765661965
none,fedavg,,1338,kqc9pciy,network_main,True,330,3540.563414858989,0.6001,750,3773.3740700079943,,,,,0.19876110507072284
none,fedavg,,1339,5cari6u0,network_main,True,465,4250.2691552769975,0.6023,750,4483.500508152996,,,,,0.16728000780554542
none,fedbuff,10,1337,j81afai0,network_main,True,870,2353.767631171002,0.604,870,2375.430624786997,0.13908045977011493,0.10103729127661568,3.322314049586777,1.061415220293725,0.369620173409885
none,fedbuff,10,1338,kouohvbb,network_main,True,860,2280.902073723002,0.6,860,2302.252554659004,0.14883720930232558,0.11020934730285592,3.265625,1.0478142076502732,0.3770438064428891
none,fedbuff,10,1339,o7i4mdii,network_main,True,1010,2530.178753004991,0.6005,1010,2551.310537466983,0.15148514851485148,0.11123076379235876,3.2091503267973858,1.0548424737456243,0.39918128266647707
none,fedstaleweight,10,1337,wyc9rjxq,network_main,True,660,1806.368915264,0.6024,660,1827.323406495998,0.1393939393939394,0.29352799634146376,3.3043478260869565,1.0528169014084507,0.36537386932587984
none,fedstaleweight,10,1338,b0xxbbi7,network_main,True,570,1625.7033320400078,0.6057,570,1646.8499407849886,0.14736842105263157,0.29761843802023297,3.1785714285714284,1.0473251028806585,0.3506174766122535
none,fedstaleweight,10,1339,9qv2c0qb,network_main,True,670,1882.4259313690127,0.6054,670,1903.6784510060097,0.15223880597014924,0.3002080924520387,3.0392156862745097,1.0721830985915493,0.35592369868849816
none,fedasync,1,1337,u2awvlob,network_main,True,370,1230.945546379,0.6012,370,1252.064892069,0.12162162162162164,0.06767091736462533,37.666666666666664,10.236923076923077,0.30058193970351266
none,fedasync,1,1338,vnxrt39a,network_main,True,440,1388.0076740059994,0.6265,440,1409.3906998780003,0.12954545454545455,0.07635475629782304,35.96491228070175,10.355091383812011,0.3170011292013204
none,fedasync,1,1339,utho3iov,network_main,True,360,1172.4121792650003,0.6093,360,1193.809359461,0.1361111111111111,0.0805131230071251,34.3469387755102,10.389067524115756,0.3070592461993089
none,fedbuff,5,1337,f8r1yqsh,network_stressor_sweep,True,530,3499.900576688,0.6059,530,3521.168325573992,0.22830188679245284,0.1921133957255986,4.082644628099174,2.34718826405868,0.1514328731307978
none,fedbuff,5,1338,3sduvg0n,network_stressor_sweep,True,625,2817.830666690017,0.6094,625,2839.1052967279684,0.2144,0.17644085166710136,4.373134328358209,2.3034623217922605,0.22180183053162675
none,fedbuff,5,1339,w54p73te,network_stressor_sweep,True,605,2725.4689367759856,0.6027,605,2746.696130405995,0.2,0.15903058232482928,4.677685950413223,2.270661157024793,0.2219801487503531
none,fedstaleweight,5,1337,qjnt77fk,network_stressor_sweep,False,,,0.403,750,4813.142418627976,0.22266666666666668,0.3087785058422829,4.233532934131737,2.3430531732418527,0.1564943591920486
